TransactionID,Date,Country,Product,Quantity,UnitPrice
1009,2024-03-28,Spain,  Wireless Mouse  , 9 ,14.99
1041,2024-01-13,Spain,Wireless Mouse,9,14.99
1047,2024-01-27,Germany,Laptop Stand,1,
1046,2024-02-03,Germany,Wireless Mouse,6,14.99
1054,2024-03-01,United Kingdom,  Mechanical Keyboard  ,5,59.99
1013,2024-02-29,Spain,Desk Lamp,6,
1022,2024-01-08,United States,Mechanical Keyboard,2,59.99
1057,2024-02-13,Germany,Wireless Mouse,4,14.99
1067,2024-02-25,United Kingdom,Desk Lamp,3,18.75
1080,2024-03-05,United States,wireless mouse,10,14.99
1020,2024-03-17,France,Mechanical Keyboard, 6 ,
1078,2024-01-06,Germany,WIRELESS MOUSE,5,14.99
1063,2024-01-04,,Desk Lamp,3,18.75
1051,2024-02-12,Spain,USB-C Cable,9,
1064,2024-03-19, Spain ,USB-C Cable,3,8.5
1056,2024-01-29,,Laptop Stand,2,24.0
1014,2024-02-01,United States,Bluetooth Speaker, 5 ,39.99
1084,2024-02-20,,Laptop Stand,2,24.0
1032,2024-01-02,Germany,USB-C Cable,4,8.5
1061,2024-01-12,United States,USB-C Cable,6,8.5
1066,2024-01-02,,Bluetooth Speaker, 1 ,39.99
1025,2024-01-22,United Kingdom,Mechanical Keyboard,6,59.99
1071,2024-03-07,France,desk lamp,10,18.75
1083,2024-01-26,Spain,Desk Lamp,9,18.75
1079,2024-01-04,Spain,Wireless Mouse,9,14.99
1002,2024-01-08,United Kingdom,  Bluetooth Speaker  ,10,39.99
1005,2024-01-29,United Kingdom,Laptop Stand,2,24.0
1033,2024-02-06,Spain,Laptop Stand,5,
1003,2024-02-25,germany,Bluetooth Speaker,2,39.99
1045,2024-02-09,United States,Laptop Stand,8,24.0
1035,2024-03-29,  SPAIN  ,BLUETOOTH SPEAKER, 3 ,39.99
1023,2024-03-28,France,Desk Lamp,10,18.75
1065,2024-01-20,United States,Bluetooth Speaker,6,39.99
1058,2024-01-01,United States,USB-C Cable,10,8.5
1038,2024-01-08,United Kingdom,Laptop Stand,7,24.0
1027,2024-02-20,Germany,Mechanical Keyboard,4,59.99
1047,2024-01-27,Germany,Laptop Stand,1,
1012,2024-03-04,  UNITED KINGDOM  ,Bluetooth Speaker,4,39.99
1081,2024-02-27,Spain,Bluetooth Speaker,5,39.99
1040,2024-01-14,France,Wireless Mouse,1,14.99
1026,2024-01-28,United Kingdom,Bluetooth Speaker,1,39.99
1024,2024-03-26,  FRANCE  ,Laptop Stand, 7 ,24.0
1007,2024-03-12,United Kingdom,Laptop Stand,1,24.0
1034,2024-02-17,Germany,wireless mouse, 9 ,14.99
1021,2024-01-12,,Laptop Stand,2,24.0
1015,2024-02-08,Germany,USB-C Cable, 10 ,8.5
1031,2024-01-11,United States,Desk Lamp,3,18.75
1047,2024-01-27,Germany,Laptop Stand,1,
1068,2024-01-28,Germany,USB-C Cable,5,8.5
1006,2024-03-15,Spain,Desk Lamp, 10 ,18.75
