TransactionID,Date,Country,Product,Quantity,UnitPrice,Revenue
1078,2024-01-06,Germany,Wireless Mouse,5,14.99,74.95
1063,2024-01-04,Unknown,Desk Lamp,3,18.75,56.25
1051,2024-02-12,Spain,Usb-C Cable,9,8.5,76.5
1064,2024-03-19,Spain,Usb-C Cable,3,8.5,25.5
1056,2024-01-29,Unknown,Laptop Stand,2,24.0,48.0
1014,2024-02-01,United States,Bluetooth Speaker,5,39.99,199.95000000000002
1084,2024-02-20,Unknown,Laptop Stand,2,24.0,48.0
1032,2024-01-02,Germany,Usb-C Cable,4,8.5,34.0
1061,2024-01-12,United States,Usb-C Cable,6,8.5,51.0
1066,2024-01-02,Unknown,Bluetooth Speaker,1,39.99,39.99
1025,2024-01-22,United Kingdom,Mechanical Keyboard,6,59.99,359.94
1083,2024-01-26,Spain,Desk Lamp,9,18.75,168.75
1079,2024-01-04,Spain,Wireless Mouse,9,14.99,134.91
1002,2024-01-08,United Kingdom,Bluetooth Speaker,10,39.99,399.90000000000003
1005,2024-01-29,United Kingdom,Laptop Stand,2,24.0,48.0
1033,2024-02-06,Spain,Laptop Stand,5,24.0,120.0
1045,2024-02-09,United States,Laptop Stand,8,24.0,192.0
1035,2024-03-29,Spain,Bluetooth Speaker,3,39.99,119.97
1023,2024-03-28,France,Desk Lamp,10,18.75,187.5
1065,2024-01-20,United States,Bluetooth Speaker,6,39.99,239.94
1058,2024-01-01,United States,Usb-C Cable,10,8.5,85.0
1038,2024-01-08,United Kingdom,Laptop Stand,7,24.0,168.0
1027,2024-02-20,Germany,Mechanical Keyboard,4,59.99,239.96
1081,2024-02-27,Spain,Bluetooth Speaker,5,39.99,199.95000000000002
1040,2024-01-14,France,Wireless Mouse,1,14.99,14.99
1024,2024-03-26,France,Laptop Stand,7,24.0,168.0
1007,2024-03-12,United Kingdom,Laptop Stand,1,24.0,24.0
1034,2024-02-17,Germany,Wireless Mouse,9,14.99,134.91
1021,2024-01-12,Unknown,Laptop Stand,2,24.0,48.0
1015,2024-02-08,Germany,Usb-C Cable,10,8.5,85.0
1031,2024-01-11,United States,Desk Lamp,3,18.75,56.25
1068,2024-01-28,Germany,Usb-C Cable,5,8.5,42.5
1006,2024-03-15,Spain,Desk Lamp,10,18.75,187.5
